Género;Fecha de nacimiento;Nivel de Educación;Nacionalidad;Pais de residencia;Proceso;FIT;Estado Proceso;Carrera 1;Institucion 1;Nivel de estudio;Estado de carrera;Área de estudio;Carrera 2;Institución 2;Nivel de estudio 2;Estado de carrera 2;Area de estudio 2
F;2002-03-27;Media/Secundaria;chile;chile;Profesionales;86;Proceso Inactivo;;;;;;;;;;
F;1994-08-02;Universitaria;chile;Chile;Profesionales;86;Proceso Inactivo;Ingenieria Comercial;Universidad de Valparaiso;Pregrado;Titulado/Titulada;Administración;;;;;
M;1980-11-19;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;67;Proceso Inactivo;Ingenieria En Transporte Maritimo;uniersidad del mar;Postgrado;Titulado/Titulada;Transporte y Telecomunicación;Ingenieria Comercial;Universidad Federico Santa María;Postgrado;En curso;Comercio
M;1988-08-31;Magister;perú;Perú;Proceso de Selección - SKY Airline;73;Proceso Inactivo;Marketing Y Gestion Comercial;Universidad Esan;Postgrado;En curso;Marketing;Marketing;Universidad San Ignacio de Loyola;Pregrado;Titulado/Titulada;Marketing
M;1993-05-17;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;79;Proceso Inactivo;Psicologia / Licenciatura En Psicologia;Universidad San Martin de Porres;Pregrado;Titulado/Titulada;Psicología;;;;;
F;1981-03-26;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;73;Proceso Inactivo;Psicologia;Universidad Cesra Vallejo - Trujillo;Postgrado;Titulado/Titulada;Psicología;Maestría del Desarrollo de Factor Humano;Universidad Peruana de Ciencias Aplicadas UPC;Postgrado;Egresado/Egresada;Psicología
M;1992-08-24;Postgrado;chile;Chile;Proceso de Selección - SKY Airline;82;Proceso Inactivo;Ingenieria en Ejecución en Informatica;Duoc UC;Pregrado;Titulado/Titulada;Computación e Informática;Diplomado en Inteligencia de Negocios;Pontificia Universidad Catolica de Chile;Postgrado;Titulado/Titulada;Computación e Informática
F;1988-10-15;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;66;Proceso Inactivo;Administracion De Servicios;Universidad de Los Andes;Pregrado;Egresado/Egresada;Administración;;;;;
M;1991-06-20;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;80;Proceso Inactivo;Publicidad;Universidad del Pacífico;Pregrado;Egresado/Egresada;Marketing;;;;;
F;1971-02-10;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;48;Proceso Inactivo;Publicista Y Comunicacion Integral;utem;Pregrado;Egresado/Egresada;Marketing;;;;;
F;1989-04-25;Magister;chile;Chile;Proceso de Selección - SKY Airline;78;Proceso Inactivo;Ingenieria Comercial - Profesional;Universidad Adolfo Ibáñez;Postgrado;Titulado/Titulada;Marketing;;;;;
M;1984-08-23;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;60;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Nacional Andrés Bello;Otra;Titulado/Titulada;Ingeniería Civil;;;;;
M;1987-05-27;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;84;Proceso Inactivo;Ingenieria Civil Industrial (Programa De Continuidad De Estudios);Universidad de Los Andes;Pregrado;Titulado/Titulada;Industrial;;;;;
M;1982-12-29;Magister;chile;Chile;Proceso de Selección - SKY Airline;80;Proceso Inactivo;Diploma Contabilidad IFRS;Universidad de Chile;Postgrado;Titulado/Titulada;Contabilidad;MBA;IE Business School;Postgrado;Titulado/Titulada;Administración
M;1986-11-20;Magister;Nicaragüenses;Chile;Proceso de Selección - SKY Airline;59;Proceso Inactivo;Ingenieria Comercial - Continuidad Ingenieros Y Tns;Universidad Politecnica de Nicaragua;Pregrado;Titulado/Titulada;Finanzas;Master en Finanzas;Universidad Nacional Autonoma de Nicaragua;Postgrado;Titulado/Titulada;Finanzas
M;1988-01-16;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;77;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Diego Portales;Pregrado;Titulado/Titulada;Ingeniería Civil;Diplomado Gestión en Procesos de Negocio;Universidad de Chile;Otra;Titulado/Titulada;Ingeniería Civil
M;1990-06-09;Magister;chile;Chile;Proceso de Selección - SKY Airline;77;Proceso Inactivo;Ingenieria Comercial.;Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Finanzas;;;;;
M;1986-09-29;Postgrado;chile;Chile;Proceso de Selección - SKY Airline;71;Proceso Inactivo;Diplomado marketing y ventas;Universidad Adolfo Ibáñez;Postgrado;Egresado/Egresada;Marketing;Ingenieria Comercial;Universidad Alberto Hurtado;Pregrado;Titulado/Titulada;Administración
M;1990-04-22;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;84;Proceso Inactivo;Diplomado en Inteligencia de Negocios;Universidad de  Chile;Otra;Titulado/Titulada;Estadística;Ingeniero Civil Industrial;Universidad del Bio Bío;Pregrado;Titulado/Titulada;Industrial
M;1988-03-03;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;85;Proceso Inactivo;Ingenieria Comercial Mencion Administracion De Empresas;Pontificia Universidad Catolica de Chile;Pregrado;Egresado/Egresada;Administración;;;;;
M;1989-02-23;Magister;chile;Chile;Proceso de Selección - SKY Airline;65;Proceso Inactivo;Ingenieria Comercial - Profesional;Universidad Nacional Andrés Bello;Postgrado;Titulado/Titulada;Economía;Control De Gestion;Universidad de Chile;Postgrado;Titulado/Titulada;Finanzas
M;1995-10-24;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;77;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Adolfo Ibáñez;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
M;1988-12-21;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;80;Proceso Inactivo;Ingenieria Civil Industrial;PUCV;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
M;1990-01-14;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;88;Proceso Inactivo;Ingenieria Civil De Industrias, Diploma En Ingenieria De Transporte;Pontificia Universidad Catolica de Chile;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
M;1988-10-02;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;91;Proceso Inactivo;Ingenieria Comercial Mencion Administracion De Empresas;Universidad San Sebastian;Pregrado;Titulado/Titulada;Administración;Magister en Gestión Estratégica y Evaluación de Proyectos;Universidad San Sebastian;Postgrado;En curso;Administración
F;1993-01-30;Postgrado;chile;Chile;Proceso de Selección - SKY Airline;77;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Catolica de Temuco;Pregrado;Titulado/Titulada;Administración;Bachillerato De Ingenieria;Universidad Catolica de Temuco;Pregrado;Egresado/Egresada;Bachillerato / College
M;1984-05-08;Postgrado;chile;Chile;Proceso de Selección - SKY Airline;67;Proceso Inactivo;Ingenieria En Administracion Mencion Marketing, Finanzas, Recursos Humanos;Duoc UC;Pregrado;Titulado/Titulada;Administración;Diplomado en Control de Gestión;Universidad de Los Andes;Postgrado;Titulado/Titulada;Finanzas
F;1989-08-07;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;64;Proceso Inactivo;Ingeniera Comercial;Universidad Católica del Norte;Pregrado;Titulado/Titulada;Administración;;;;;
M;1991-05-02;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;89;Proceso Inactivo;Ingenieria Comercial;Universidad Adolfo Ibáñez;Postgrado;Titulado/Titulada;Administración;;;;;
F;1985-08-26;Técnico profesional superior;perú;Perú;Proceso de Selección - SKY Airline;76;Proceso Inactivo;Marketing Y Gestion Comercial;Esan;Otra;Egresado/Egresada;Marketing;Branding;Esan;Otra;Egresado/Egresada;Marketing
M;1989-08-23;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;73;Proceso Inactivo;Comunicación Integral;Instituto San Ignacio de Loyola;Educación Técnico Profesional;Titulado/Titulada;Comunicación;Comunicación Social;Universidad Santa María;Pregrado;Egresado/Egresada;Comunicación
F;1992-12-20;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;80;Proceso Inactivo;Business Analytics;Universidad peruana de ciencias aplicadas;Postgrado;Egresado/Egresada;Marketing;marketing;Universidad San Ignacio de Loyola;Pregrado;Egresado/Egresada;Marketing
F;1984-04-17;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;64;Proceso Inactivo;Marketing Internacional;Esan;Postgrado;Egresado/Egresada;Marketing;Publicidad;Pontificia Universidad Católica del Perú;Pregrado;Titulado/Titulada;Artes de la Comunicación
M;1989-05-31;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;88;Proceso Inactivo;Administracion De Empresas Mencion Marketing Y Ventas O Comercio Exterior O Gestion Del Capital Humano;Universidad del Pacífico;Pregrado;Titulado/Titulada;Administración;Branding;ESAN;Postgrado;Egresado/Egresada;Marketing
M;1985-10-05;Magister;perú;Perú;Proceso de Selección - SKY Airline;79;Proceso Inactivo;Gestión de Marketing Digital;Pacífico Business School;Postgrado;Egresado/Egresada;Marketing;Maestría en Dirección de Marketing y Gestión Comercial;EAE Business School;Otra;Egresado/Egresada;Marketing
M;1986-11-13;Magister;perú;Perú;Proceso de Selección - SKY Airline;75;Proceso Inactivo;MBA;Glasgow Caledonian University;Postgrado;Egresado/Egresada;Administración;Digital Marketing;Columbia Business School;Otra;Egresado/Egresada;Marketing
F;1990-10-18;Magister;perú;Perú;Proceso de Selección - SKY Airline;41;Proceso Inactivo;Administracion Hotelera;Universidad San Ignacio de Loyola;Pregrado;Egresado/Egresada;Turismo y Hotelería;Magister en Marketing;Esan Graduate Business School;Postgrado;En curso;Marketing
M;1990-01-05;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;75;Proceso Inactivo;Ingenieria Civil Mecanica;Universidad de Santiago de Chile;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
M;1986-10-13;Magister;perú;Perú;Proceso de Selección - SKY Airline;72;Proceso Inactivo;Transformación Digital;Univesitat de Barcelona;Postgrado;Titulado/Titulada;Marketing;Marketing Y Gestion Comercial;Universidad Peruana de Ciencias Aplicadas;Pregrado;Egresado/Egresada;Marketing
M;1990-06-30;Magister;perú;Perú;Proceso de Selección - SKY Airline;76;Proceso Inactivo;Comunicaciones;Universidad de Lima;Pregrado;Titulado/Titulada;Comunicación; Dirección de Comunicación, Gestión Publicitaria y Nuevas Tecnologías ;ESIC: Business & Marketing School;Postgrado;Titulado/Titulada;Comunicación
F;1989-02-08;Magister;chile;chile;Proceso de Selección - SKY Airline;80;Proceso Inactivo;;;;;;;;;;
F;1987-03-03;Magister;perú;Perú;Proceso de Selección - SKY Airline;72;Proceso Inactivo;Administracion De Empresas;Concordia University;Postgrado;Titulado/Titulada;Administración;Administracion De Recursos Humanos;Universidad Peruana de Ciencias Aplicadas;Postgrado;Titulado/Titulada;Administración
F;1994-09-07;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;93;Proceso Inactivo;Diplomando en Gestión del Factor Humano;Universidad Peruana de Ciencias Aplicadas;Postgrado;Egresado/Egresada;Psicología;Psicologia / Licenciatura En Psicologia;Universidad San Ignacio de Loyola;Pregrado;Titulado/Titulada;Psicología
F;1992-11-29;Magister;perú;Perú;Proceso de Selección - SKY Airline;82;Proceso Inactivo;Administración de Servicios;Universidad de Piura;Pregrado;Titulado/Titulada;Administración;Certificación en Community Manager;MOTT:Centro de especialización digital;Postgrado;Egresado/Egresada;Marketing
M;1981-06-09;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;65;Proceso Inactivo;;;;;;;;;;
M;1996-02-21;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;93;Proceso Inactivo;;;;;;;;;;
M;1969-10-29;Técnico profesional superior;chile;Chile;Proceso de Selección - SKY Airline;32;Proceso Inactivo;Ingenieria En Gestion Logistica;DUOC UC;Educación Técnico Profesional;Titulado/Titulada;Administración;Tecnico En Administracion De Empresas Mencion Finanzas;ITESA;Educación Técnico Profesional;Titulado/Titulada;Administración
M;1991-06-24;Postgrado;chile;Chile;Proceso de Selección - SKY Airline;63;Proceso Inactivo;Psicologia;Universidad Diego Portales;Pregrado;Titulado/Titulada;Psicología;;;;;
F;1985-12-16;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;58;Proceso Inactivo;Psicologia;Universidad Ricardo Palma;Postgrado;Titulado/Titulada;Recursos Marinos;;;;;
F;1991-09-21;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;69;Proceso Inactivo;Psicologia;Pontificia Universidad Católica del Perú;Pregrado;Egresado/Egresada;Psicología;Administracion De Recursos Humanos;Universidad Peruana de Ciencias Aplicadas;Postgrado;Egresado/Egresada;Psicología
M;1991-11-16;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;74;Proceso Inactivo;Ingenieria Comercial;Universidad de Los Andes;Pregrado;Egresado/Egresada;Administración;;;;;
F;1991-06-05;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;69;Proceso Inactivo;Psicologia;Universidad César Vallejo;Pregrado;Titulado/Titulada;Psicología;;;;;
F;1993-05-26;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;72;Proceso Inactivo;Psicologia / Licenciatura En Psicologia;Pontificia Universidad Católica del Perú;Pregrado;Titulado/Titulada;Psicología;;;;;
F;1992-11-19;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;69;Proceso Inactivo;Psicologia Organizacional;Universidad ESAN;Pregrado;Titulado/Titulada;Psicología;Especialización en Recursos Humanos;Universidad del Pacifico;Postgrado;Egresado/Egresada;Administración
M;1990-07-16;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;81;Proceso Inactivo;;;;;;;;;;
F;1995-04-24;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;72;Proceso Inactivo;Psicologia;Universidad de Los Andes;Pregrado;Titulado/Titulada;Psicología;;;;;
F;1995-06-05;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;76;Proceso Inactivo;;;;;;;;;;
M;1981-12-01;Técnico profesional superior;chile;Chile;Proceso de Selección - SKY Airline;33;Proceso Inactivo;Ingenieria en ejecucion  en Informatica mencion  desarrollo de sistemas;Instituto profecional AIEP;Educación Técnico Profesional;Titulado/Titulada;Computación e Informática;;;;;
M;1991-06-13;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;85;Proceso Inactivo;Bachillerato En Psicologia;Universidad de Lima;Pregrado;Egresado/Egresada;Psicología;;;;;
M;1987-05-23;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;71;Proceso Inactivo;Psicologia / Licenciatura En Psicologia;Universidad San Martin de Porres;Pregrado;Titulado/Titulada;Psicología;;;;;
F;1984-08-15;Magister;perú;Perú;Proceso de Selección - SKY Airline;75;Proceso Inactivo;Certificado en Docencia digital;Universidad Peruana de Ciencias Aplicadas;Postgrado;Egresado/Egresada;Comunicación;Diplomado en Recursos Humanos;Universidad Ricardo Palma;Postgrado;Egresado/Egresada;Administración
M;1991-11-01;Magister;chile;Chile;Proceso de Selección - SKY Airline;80;Proceso Inactivo;Psicologia;Pontificia Universidad Catolica de Chile;Postgrado;Titulado/Titulada;Psicología;Psicologia;Universitat de Barcelona;Postgrado;Titulado/Titulada;Psicología
F;1978-05-17;Magister;chile;Chile;Proceso de Selección - SKY Airline;54;Proceso Inactivo;;;;;;;;;;
F;1993-08-31;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;70;Proceso Inactivo;Administracion En Recursos Humanos;Universidad del Pacifico;Postgrado;Egresado/Egresada;Bachillerato / College;Psicologia;Universidad San Ignacio de Loyola;Pregrado;Titulado/Titulada;Psicología
M;1987-06-24;Universitaria;venezuela;Chile;Proceso de Selección - SKY Airline;77;Proceso Inactivo;Ingenieria Mecanica;Universidad de Carabobo;Postgrado;En curso;Ingeniería Civil;Tecnico En Electromecanica;CFP Invecapi Jesús Obrero;Educación Técnico Profesional;Titulado/Titulada;Mecánica
M;1987-07-14;Universitaria;colombia;Chile;Proceso de Selección - SKY Airline;84;Proceso Inactivo;Licenciatura en Administración de Empresas;Universidad de Chile;Pregrado;Titulado/Titulada;Administración;Ingenieria Comercial, Continuidad De Estudios;Universidad Central de Chile;Pregrado;Titulado/Titulada;Administración
M;1968-04-06;Doctorado;chile;Chile;Proceso de Selección - SKY Airline;38;Proceso Inactivo;Doctorado en Ciencias Ingenieria;Pontificia Universidad Catolica de Chile;Postgrado;Otro;Industrial;Master of Business Administration;LOYOLA UNIVERSITY, USA;Postgrado;Titulado/Titulada;Administración
M;1991-07-28;Postgrado;argentina;Argentina;Proceso de Selección - SKY Airline;50;Proceso Inactivo;INGENIERIA INFORMATICA;COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA;Postgrado;Titulado/Titulada;Computación e Informática;;;;;
M;1976-03-31;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;75;Proceso Inactivo;Contador Auditor;Universidad de Chile;Pregrado;Titulado/Titulada;Administración;Ingeniería en Información y Control de Gestión;Universidad de Chile;Pregrado;Titulado/Titulada;Administración
M;1994-08-15;Postgrado;chile;Chile;Proceso de Selección - SKY Airline;65;Proceso Inactivo;Ingenieria Comercial Mencion Gestion De Empresas Para Profesionales Del Area - Continuidad;"Universidad ""Adolfo Ibañez""";Postgrado;Egresado/Egresada;Administración;;;;;
M;1974-05-23;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;77;Proceso Inactivo;Técnico en Turismo;DUOC UC;Educación Técnico Profesional;Titulado/Titulada;Turismo y Hotelería;Ingenieria Comercial;Universidad de las Américas;Pregrado;Titulado/Titulada;Comercio
F;1988-05-17;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;46;Proceso Inactivo;;;;;;;;;;
F;1989-02-13;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;61;Proceso Inactivo;Psicologia;Universidad Central;Pregrado;Titulado/Titulada;Psicología;;;;;
M;1987-09-08;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;59;Proceso Inactivo;Tecnologo en Mantenimiento Industrial;Universidad de Santiago de Chile;Pregrado;Titulado/Titulada;Industrial;Ingenieria Industrial;Universidad de Santiago de Chile;Pregrado;Egresado/Egresada;Industrial
M;1978-11-08;Técnico profesional superior;argentina;Chile;Proceso de Selección - SKY Airline;67;Proceso Inactivo;Tecnico De Nivel Superior En Turismo Mencion Hospitality / Hospitalidad Turistica;universidad nacional del Nordeste;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería;;;;;
F;1983-11-22;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;64;Proceso Inactivo;Psicologia / Licenciatura En Psicologia;Universidad Nacional Mayor de San Marcos;Pregrado;Titulado/Titulada;Psicología;;;;;
M;1988-06-04;Universitaria;chile;chile;Proceso de Selección - SKY Airline;67;Proceso Inactivo;Ingenieria Informatica;Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Computación e Informática;;;;;
M;1992-08-21;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;84;Proceso Inactivo;;;;;;;;;;
M;1988-02-02;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;85;Proceso Inactivo;Ingenieria Civil Mecánica;Universidad de Santiago de Chile;Pregrado;Titulado/Titulada;Mecánica;;;;;
M;1979-02-16;Magister;chile;Chile;Proceso de Selección - SKY Airline;70;Proceso Inactivo;Ingenieria De Ejecucion En Instrumentacion Y Automatizacion Industrial;"Universidad Técnica ""Federico Santa María""";Postgrado;Titulado/Titulada;Eléctrica / Electrónica;Tecnico En Electronica;"Universidad Técnica ""Federico Santa María""";Pregrado;Titulado/Titulada;Eléctrica / Electrónica
M;1982-11-10;Universitaria;venezuela;Chile;Proceso de Selección - SKY Airline;76;Proceso Inactivo;Ingenieria Civil En Mecanica;UNIVERSIDAD EXPERIMENTAL POLITECNICA ANTONIO JOSE DE SUCRE;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
M;1986-04-20;Magister;venezuela;Chile;Proceso de Selección - SKY Airline;83;Proceso Inactivo;Master of Business Administration;Universidad de Chile;Postgrado;Titulado/Titulada;Administración;Master en Gestión de Mantenimiento;Universidad Politécnica de Valencia;Postgrado;Titulado/Titulada;Mecánica
M;1978-08-06;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;72;Proceso Inactivo;Técnico Superior en Electrónica;Academia Politecnica Naval, Armada de Chile;Educación Técnico Profesional;Titulado/Titulada;Eléctrica / Electrónica;Ingeniero Industrial;Universidad Andrés Bello;Pregrado;Titulado/Titulada;Industrial
M;1993-01-29;Magister;chile;Chile;Proceso de Selección - SKY Airline;89;Proceso Inactivo;Ingeniería Comercial;Universidad Adolfo Ibáñez;Postgrado;Titulado/Titulada;Marketing;;;;;
M;1989-04-26;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;74;Proceso Inactivo;INGENIERIA DE EJECUCION EN PROYECTOS DE INGENIERIA;UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;Pregrado;Titulado/Titulada;Ingeniería Civil;TECNOLOGO EN MANTENIMIENTO INDUSTRIAL;UNIVERSIDAD DE SANTIAGO;Pregrado;Titulado/Titulada;Mecánica
M;1992-04-23;Magister;chile;Chile;Proceso de Selección - SKY Airline;91;Proceso Inactivo;Ingeniera Comercial;Universidad Adolfo Ibáñez;Postgrado;Egresado/Egresada;Marketing;;;;;
M;1981-08-01;Postgrado;chile;Chile;Proceso de Selección - SKY Airline;50;Proceso Inactivo;Ingenieria Civil Industrial;Universidad San Sebastian;Pregrado;En curso;Industrial;diplomado en gestion de activos fisicos y mantenimiento;Pontificia Universidad Catolica de Chile;Postgrado;Titulado/Titulada;Industrial
M;1984-11-13;Universitaria;venezuela;Chile;Proceso de Selección - SKY Airline;85;Proceso Inactivo;Ingenieria Civil En Mecanica;UNEXPO;Pregrado;Titulado/Titulada;Mecánica;;;;;
M;1993-01-08;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;60;Proceso Inactivo;Ingenieria En Control De Gestion;Universidad Diego Portales;Pregrado;Titulado/Titulada;Economía;;;;;
M;1993-06-23;Técnico profesional superior;chile;Chile;Proceso de Selección - SKY Airline;74;Proceso Inactivo;Tecnico Universitario En Mantenimiento Aeronautico;"Universidad Técnica ""Federico Santa María""";Educación Técnico Profesional;Titulado/Titulada;Mecánica;Ingenieria En Mantenimiento Industrial;"Universidad Técnica ""Federico Santa María""";Pregrado;En curso;Industrial
M;1989-01-16;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;77;Proceso Inactivo;Psicologia;Universidad Catolica del Norte;Pregrado;Egresado/Egresada;Psicología;;;;;
F;1990-07-31;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;61;Proceso Inactivo;Ingenieria Civil Industrial (Programa De Continuidad De Estudios);Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
F;1989-08-04;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;60;Proceso Inactivo;Psicologia;Universidad Gabriela Mistral;Pregrado;Titulado/Titulada;Psicología;;;;;
F;1985-07-11;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;77;Proceso Inactivo;Diplomado en Liderazgo y gestión LEN;Pontificia Universidad Catolica de Chile;Otra;Titulado/Titulada;Mecánica;Diplomado en Soldadura Avanzada;Lincoln Electric;Otra;Titulado/Titulada;Mecánica
M;1980-10-02;Técnico profesional superior;chile;Chile;Proceso de Selección - SKY Airline;66;Proceso Inactivo;Administracion De Recursos Humanos;Universidad Santo Tomás;Educación Técnico Profesional;En curso;Administración;;;;;
M;1989-10-27;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;84;Proceso Inactivo;Ingenieria En Aviacion Comercial;"Universidad Técnica ""Federico Santa María""";Pregrado;Titulado/Titulada;Transporte y Telecomunicación;;;;;
F;1986-09-05;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;54;Proceso Inactivo;Psicologia;Universidad de Viña del Mar;Educación Técnico Profesional;Titulado/Titulada;Psicología;;;;;
M;1992-04-20;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;74;Proceso Inactivo;Ingenieria Electronica;Universidad Tecnológica de Chile;Otra;Titulado/Titulada;Eléctrica / Electrónica;Ingenieria Civil Industrial;Universidad La Republica;Otra;Titulado/Titulada;Ingeniería Civil
F;1978-05-19;Postgrado;chile;Chile;Proceso de Selección - SKY Airline;55;Proceso Inactivo;Psicologia;Universidad Central;Pregrado;Titulado/Titulada;Psicología;;;;;
M;1980-04-01;Universitaria;argentina;Chile;Proceso de Selección - SKY Airline;77;Proceso Inactivo;Licenciatura en Informática;UNLP - Argentina;Pregrado;Titulado/Titulada;Computación e Informática;;;;;
M;1994-11-14;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;59;Proceso Inactivo;Ingenieria De Ejecucion En Computacion E Informatica;Universidad del Bío-Bío;Pregrado;Titulado/Titulada;Computación e Informática;;;;;
F;1989-09-18;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;66;Proceso Inactivo;Implementación y Auditoria SIG en ISO 9001,ISO14001, OHSAS 18001 Y SA 8000:2008/AA1000 E ISO 26000;Universidad Nacional Agraria;Postgrado;Titulado/Titulada;Medio Ambiente;Ecoturismo;Universidad Nacional Federico Villarreal;Pregrado;Titulado/Titulada;Bachillerato / College
F;1990-08-03;Magister;chile;Chile;Proceso de Selección - SKY Airline;33;Proceso Inactivo;Psicologia;"Universidad ""Adolfo Ibañez""";Otra;Titulado/Titulada;Psicología;;;;;
F;1987-11-09;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;60;Proceso Inactivo;Psicologia / Licenciatura En Psicologia;Universidad de Lima;Pregrado;Titulado/Titulada;Psicología;;;;;
M;1981-10-12;Postgrado;venezuela;Chile;Proceso de Selección - SKY Airline;55;Proceso Inactivo;Diplomado en Gobernanza, Gestión y Auditoría a La Ciberseguridad;USACH;Postgrado;Titulado/Titulada;Computación e Informática;Especialista en Tecnologia de Información y Comunicación;UCLA;Postgrado;Titulado/Titulada;Computación e Informática
M;1987-09-10;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;66;Proceso Inactivo;;;;;;;;;;
M;1987-08-18;Magister;chile;Chile;Proceso de Selección - SKY Airline;68;Proceso Inactivo;Magister en Gestion de Tecnologia de la Informacion y Ciberseguridad;Universidad de Oberta Cataluña y INACAP;Postgrado;Titulado/Titulada;Química y Metalurgia;;;;;
F;1995-06-16;Postgrado;perú;Perú;Proceso de Selección - SKY Airline;80;Proceso Inactivo;;;;;;;;;;
M;1980-01-01;Magister;chile;Chile;Proceso de Selección - SKY Airline;74;Proceso Inactivo;Magister en Dirección de Empresas;Universidad Andrés Bello;Postgrado;Egresado/Egresada;Administración;"Magister 	en Seguridad, Peritaje y Auditoría en Procesos Informáticos";Universidad de Santiago de Chile;Postgrado;Titulado/Titulada;Computación e Informática
M;1977-11-11;Postgrado;chile;Chile;Proceso de Selección - SKY Airline;77;Proceso Inactivo;Ingenieria Civil Industrial;Universidad del Mar;Postgrado;Titulado/Titulada;Ingeniería Civil;Auditoria;Universidad de Chile;Postgrado;Titulado/Titulada;Computación e Informática
F;1983-01-06;Magister;venezuela;Chile;Proceso de Selección - SKY Airline;62;Proceso Inactivo;diplomado en auditoría informática;universidad Centroccidenal Lisandro Alvarado;Otra;Egresado/Egresada;Computación e Informática;Ingenieria En Informatica (Continuidad Para Tecnicos De Nivel Superior);universidad Centroccidenal Lisandro Alvarado;Pregrado;Egresado/Egresada;Computación e Informática
M;1993-05-14;Universitaria;chile;Chile;Proceso de Selección - SKY Airline;90;Proceso Inactivo;Ingenieria Comercial;Universidad de Los Andes;Pregrado;Egresado/Egresada;Comercio;;;;;
M;1982-11-22;Universitaria;perú;Perú;Proceso de Selección - SKY Airline;70;Proceso Inactivo;Tecnologo En Informatica;Sistemas U.N.I.;Educación Técnico Profesional;Egresado/Egresada;Computación e Informática;Ingenieria de Sistemas;Universidad Privada del Norte;Pregrado;En curso;Computación e Informática
